Frame,Time(s),Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Speed,Acceleration_X,Acceleration_Y,Acceleration_Z,Acc_Magnitude,Force_X,Force_Y,Force_Z,Force_Magnitude,Momentum_X,Momentum_Y,Momentum_Z,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
102,1.7,-4.6409,5,0.75,-0.0276,0,0,0.0276,0.0028,0,0,0.0028,0.0055,0,0,0.0055,-0.0553,0,0,0.0553,0.3591,0.1173,0.0008,14.715,14.7158,
103,1.717,-4.6413,5,0.75,-0.0263,0,0,0.0263,0.0026,0,0,0.0026,0.0053,0,0,0.0053,-0.0525,0,0,0.0525,0.3587,0.1177,0.0007,14.715,14.7157,
104,1.733,-4.6417,5,0.75,-0.0249,0,0,0.0249,0.0025,0,0,0.0025,0.005,0,0,0.005,-0.0499,0,0,0.0499,0.3583,0.1181,0.0006,14.715,14.7156,
105,1.75,-4.6421,5,0.75,-0.0237,0,0,0.0237,0.0024,0,0,0.0024,0.0047,0,0,0.0047,-0.0474,0,0,0.0474,0.3579,0.1185,0.0006,14.715,14.7156,
106,1.767,-4.6425,5,0.75,-0.0225,0,0,0.0225,0.0023,0,0,0.0023,0.0045,0,0,0.0045,-0.045,0,0,0.045,0.3575,0.1189,0.0005,14.715,14.7155,
107,1.783,-4.6429,5,0.75,-0.0214,0,0,0.0214,0.0021,0,0,0.0021,0.0043,0,0,0.0043,-0.0428,0,0,0.0428,0.3571,0.1193,0.0005,14.715,14.7155,
108,1.8,-4.6432,5,0.75,-0.0203,0,0,0.0203,0.002,0,0,0.002,0.0041,0,0,0.0041,-0.0406,0,0,0.0406,0.3568,0.1196,0.0004,14.715,14.7154,
109,1.817,-4.6435,5,0.75,-0.0193,0,0,0.0193,0.0019,0,0,0.0019,0.0039,0,0,0.0039,-0.0386,0,0,0.0386,0.3565,0.1199,0.0004,14.715,14.7154,
110,1.833,-4.6438,5,0.75,-0.0183,0,0,0.0183,0.0018,0,0,0.0018,0.0037,0,0,0.0037,-0.0367,0,0,0.0367,0.3562,0.1202,0.0003,14.715,14.7153,
111,1.85,-4.6441,5,0.75,-0.0174,0,0,0.0174,0.0017,0,0,0.0017,0.0035,0,0,0.0035,-0.0348,0,0,0.0348,0.3559,0.1205,0.0003,14.715,14.7153,
112,1.867,-4.6444,5,0.75,-0.0165,0,0,0.0165,0.0017,0,0,0.0017,0.0033,0,0,0.0033,-0.0331,0,0,0.0331,0.3556,0.1208,0.0003,14.715,14.7153,
113,1.883,-4.6447,5,0.75,-0.0157,0,0,0.0157,0.0016,0,0,0.0016,0.0031,0,0,0.0031,-0.0314,0,0,0.0314,0.3553,0.1211,0.0002,14.715,14.7152,
114,1.9,-4.6449,5,0.75,-0.0149,0,0,0.0149,0.0015,0,0,0.0015,0.003,0,0,0.003,-0.0299,0,0,0.0299,0.3551,0.1213,0.0002,14.715,14.7152,
115,1.917,-4.6452,5,0.75,-0.0142,0,0,0.0142,0.0014,0,0,0.0014,0.0028,0,0,0.0028,-0.0284,0,0,0.0284,0.3548,0.1215,0.0002,14.715,14.7152,
116,1.933,-4.6454,5,0.75,-0.0135,0,0,0.0135,0.0013,0,0,0.0013,0.0027,0,0,0.0027,-0.027,0,0,0.027,0.3546,0.1218,0.0002,14.715,14.7152,
117,1.95,-4.6456,5,0.75,-0.0128,0,0,0.0128,0.0013,0,0,0.0013,0.0026,0,0,0.0026,-0.0256,0,0,0.0256,0.3544,0.122,0.0002,14.715,14.7152,
118,1.967,-4.6458,5,0.75,-0.0122,0,0,0.0122,0.0012,0,0,0.0012,0.0024,0,0,0.0024,-0.0243,0,0,0.0243,0.3542,0.1222,0.0001,14.715,14.7151,
119,1.983,-4.646,5,0.75,-0.0116,0,0,0.0116,0.0012,0,0,0.0012,0.0023,0,0,0.0023,-0.0231,0,0,0.0231,0.354,0.1224,0.0001,14.715,14.7151,
120,2,-4.6462,5,0.75,-0.011,0,0,0.011,0.0011,0,0,0.0011,0.0022,0,0,0.0022,-0.022,0,0,0.022,0.3538,0.1226,0.0001,14.715,14.7151,
