Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
36,0.6,-4.663,5,0.75,0.62,1.3429,0.19344377486607522,1.9244237589600415,0.03868875497321505,0.3848847517920083,0.124,0.26858,0.337,0.0,0.3844,14.715,15.0994,BEFORE
37,0.617,-4.6526,5,0.75,0.6233,1.3755,0.19503403504560599,1.9178825750976294,0.0390068070091212,0.3835765150195259,0.12465999999999999,0.2751,0.3474,0.0,0.3885,14.715,15.1035,BEFORE
38,0.633,-4.6422,5,0.75,0.6267,1.4082,0.21167692553272796,2.044264426509633,0.042335385106545595,0.40885288530192665,0.12534,0.28164,0.3578,0.0,0.3927,14.715,15.1077,BEFORE
39,0.65,-4.6317,5,0.75,0.63,1.4408,0.19467688424157628,1.9184614011800358,0.03893537684831526,0.3836922802360072,0.126,0.28816,0.3683,0.0,0.3969,14.715,15.1119,BEFORE
40,0.667,-4.6211,5,0.75,0.6333,1.4735,0.19379575905211893,1.923641674532524,0.03875915181042379,0.3847283349065048,0.12666,0.2947,0.3789,0.0,0.4011,14.715,15.1161,BEFORE
41,0.683,-4.6105,5,0.75,0.6367,1.5061,0.21279020215764666,2.0365718854750687,0.04255804043152933,0.4073143770950138,0.12734,0.30122000000000004,0.3895,0.0,0.4053,14.715,15.1203,BEFORE
42,0.7,-4.5998,5,0.75,0.64,1.5388,0.19499227997710003,1.9245249762302232,0.03899845599542001,0.38490499524604466,0.128,0.30776000000000003,0.4002,0.0,0.4096,14.715,15.1246,BEFORE
43,0.717,-4.5891,5,0.75,0.6433,1.5714,0.19352792992049375,1.9170940180479783,0.038705585984098755,0.3834188036095957,0.12866,0.31428,0.4109,0.0,0.4139,14.715,15.1289,BEFORE
44,0.733,-4.5783,5,0.75,0.6467,1.6041,0.2123314947670184,2.042750613033664,0.04246629895340368,0.40855012260673285,0.12934,0.32082000000000005,0.4217,0.0,0.4182,14.715,15.1332,BEFORE
45,0.75,-4.5675,5,0.75,0.65,1.6367,0.19499961595646487,1.91798230446443,0.03899992319129297,0.383596460892886,0.13,0.32734,0.4325,0.0,0.4225,14.715,15.1375,BEFORE
46,0.767,-4.5566,5,0.75,0.6533,1.6694,0.1932686334147491,1.9236813853016053,0.03865372668294982,0.3847362770603211,0.13066,0.33388,0.4434,0.0,0.4268,14.715,15.1418,BEFORE
47,0.783,-4.5457,5,0.75,0.6567,1.702,0.2128675026611446,2.0383502888325222,0.04257350053222892,0.40767005776650445,0.13133999999999998,0.34040000000000004,0.4543,0.0,0.4312,14.715,15.1462,BEFORE
48,0.8,-4.5347,5,0.75,0.66,1.7347,0.19376300393882337,1.923647380050645,0.03875260078776468,0.384729476010129,0.132,0.34694,0.4653,0.0,0.4356,14.715,15.1506,BEFORE
49,0.817,-4.5236,5,0.75,0.6633,1.7673,0.19380702370435768,1.9168442659695826,0.03876140474087154,0.38336885319391656,0.13266,0.35346000000000005,0.4764,0.0,0.44,14.715,15.155,BEFORE
50,0.833,-4.5236,5,0.75,-0.398,1.8,-66.33076761616084,2.0438695498743176,-13.26615352323217,0.4087739099748635,-0.0796,0.36000000000000004,0.4764,0.0,0.1584,14.715,14.8734,IMPACT
51,0.85,-4.5299,5,0.75,-0.3781,1.14,1.1700119391623385,-38.82279539438888,0.2340023878324677,-7.764559078877777,-0.07562,0.22799999999999998,0.4701,0.0063,0.143,14.715,14.858,AFTER
52,0.867,-4.5359,5,0.75,-0.3592,1.083,1.1114640422767055,-3.352974497432212,0.2222928084553411,-0.6705948994864425,-0.07184,0.21660000000000001,0.4641,0.0123,0.129,14.715,14.844,AFTER
53,0.883,-4.5416,5,0.75,-0.3412,1.0288,1.1259673044328584,-3.387230942018153,0.2251934608865717,-0.6774461884036307,-0.06824000000000001,0.20576,0.4584,0.018,0.1164,14.715,14.8314,AFTER
54,0.9,-4.547,5,0.75,-0.3242,0.9774,1.00001614471236,-3.023163907791966,0.200003228942472,-0.6046327815583932,-0.06484,0.19548000000000001,0.453,0.0234,0.1051,14.715,14.8201,AFTER
55,0.917,-4.5521,5,0.75,-0.308,0.9285,0.9529475841864644,-2.8755254108751696,0.1905895168372929,-0.575105082175034,-0.0616,0.1857,0.4479,0.0285,0.0948,14.715,14.8098,AFTER
56,0.933,-4.557,5,0.75,-0.2926,0.8821,0.9622577795909433,-2.9008120384797498,0.19245155591818866,-0.58016240769595,-0.05852000000000001,0.17642000000000002,0.443,0.0334,0.0856,14.715,14.8006,AFTER
57,0.95,-4.5616,5,0.75,-0.2779,0.838,0.8654802896434735,-2.594447630228285,0.1730960579286947,-0.518889526045657,-0.05558,0.1676,0.4384,0.038,0.0772,14.715,14.7922,AFTER
58,0.967,-4.566,5,0.75,-0.264,0.7961,0.8170183205436438,-2.4644675893478127,0.16340366410872875,-0.4928935178695626,-0.05280000000000001,0.15922000000000003,0.434,0.0424,0.0697,14.715,14.7847,AFTER
59,0.983,-4.5702,5,0.75,-0.2508,0.7563,0.8253118245533332,-2.4872613494201947,0.16506236491066664,-0.49745226988403896,-0.05016000000000001,0.15126,0.4298,0.0466,0.0629,14.715,14.7779,AFTER
60,1.0,-4.5742,5,0.75,-0.2383,0.7185,0.7361238272187304,-2.223318456344454,0.14722476544374608,-0.4446636912688908,-0.04766000000000001,0.14370000000000002,0.4258,0.0506,0.0568,14.715,14.7718,AFTER
61,1.017,-4.578,5,0.75,-0.2264,0.6826,0.6995860726668995,-2.110845287176981,0.1399172145333799,-0.42216905743539623,-0.04528,0.13652,0.422,0.0543,0.0512,14.715,14.7662,AFTER
62,1.033,-4.5815,5,0.75,-0.2151,0.6484,0.7061716265373222,-2.1381813093142092,0.14123432530746446,-0.42763626186284187,-0.04302,0.12968,0.4185,0.0579,0.0463,14.715,14.7613,AFTER
63,1.05,-4.5849,5,0.75,-0.2043,0.616,0.634773835636476,-1.9054694715460878,0.12695476712729523,-0.3810938943092176,-0.04086000000000001,0.1232,0.4151,0.0613,0.0417,14.715,14.7567,AFTER
64,1.067,-4.5882,5,0.75,-0.1941,0.5852,0.5993330678648316,-1.8109768837852311,0.11986661357296634,-0.3621953767570463,-0.03882,0.11704000000000002,0.4118,0.0646,0.0377,14.715,14.7527,AFTER
65,1.083,-4.5913,5,0.75,-0.1844,0.5559,0.6064719253683097,-1.8312134627520458,0.12129438507366196,-0.3662426925504092,-0.03688,0.11118,0.4087,0.0676,0.034,14.715,14.749,AFTER
66,1.1,-4.5942,5,0.75,-0.1752,0.5282,0.5420077267052413,-1.629929192322823,0.10840154534104827,-0.32598583846456464,-0.03504,0.10564000000000001,0.4058,0.0706,0.0307,14.715,14.7457,AFTER
67,1.117,-4.5969,5,0.75,-0.1664,0.5017,0.5179304246866996,-1.558898661054698,0.10358608493733992,-0.31177973221093963,-0.03328,0.10034000000000001,0.4031,0.0733,0.0277,14.715,14.7427,AFTER
68,1.133,-4.5996,5,0.75,-0.1581,0.4767,0.5190170817196308,-1.5627332211259426,0.10380341634392616,-0.3125466442251885,-0.03162,0.09534000000000001,0.4004,0.076,0.025,14.715,14.74,AFTER
69,1.15,-4.6021,5,0.75,-0.1502,0.4528,0.4639504212399966,-1.4057308264792006,0.09279008424799932,-0.28114616529584013,-0.03004,0.09056,0.3979,0.0785,0.0226,14.715,14.7376,AFTER
70,1.167,-4.6045,5,0.75,-0.1427,0.4302,0.4415356877172927,-1.3298145845846148,0.08830713754345854,-0.265962916916923,-0.02854,0.08604,0.3955,0.0809,0.0204,14.715,14.7354,AFTER
71,1.183,-4.6067,5,0.75,-0.1355,0.4087,0.4500475773299065,-1.3441154287429575,0.09000951546598131,-0.26882308574859154,-0.027100000000000003,0.08174000000000001,0.3933,0.0831,0.0184,14.715,14.7334,AFTER
72,1.2,-4.6089,5,0.75,-0.1288,0.3882,0.3946397087646846,-1.2058699739394687,0.07892794175293694,-0.24117399478789375,-0.02576,0.07764,0.3911,0.0853,0.0166,14.715,14.7316,AFTER
73,1.217,-4.6109,5,0.75,-0.1223,0.3688,0.3813574006266022,-1.1411071815485907,0.07627148012532045,-0.22822143630971814,-0.024460000000000003,0.07376,0.3891,0.0873,0.015,14.715,14.73,AFTER
74,1.233,-4.6128,5,0.75,-0.1162,0.3504,0.3811979745759745,-1.1495164185757114,0.0762395949151949,-0.2299032837151423,-0.02324,0.07008,0.3872,0.0892,0.0135,14.715,14.7285,AFTER
75,1.25,-4.6147,5,0.75,-0.1104,0.3329,0.34065580500700027,-1.0299855980433956,0.06813116100140006,-0.20599711960867914,-0.022080000000000002,0.06658,0.3853,0.0911,0.0122,14.715,14.7272,AFTER
76,1.267,-4.6164,5,0.75,-0.1049,0.3162,0.32269427461135364,-0.9824236973431553,0.06453885492227072,-0.19648473946863107,-0.02098,0.06324,0.3836,0.0928,0.011,14.715,14.726,AFTER
77,1.283,-4.6181,5,0.75,-0.0996,0.3004,0.3319414458961715,-0.9869278422097014,0.06638828917923431,-0.1973855684419403,-0.01992,0.06008,0.3819,0.0945,0.0099,14.715,14.7249,AFTER
78,1.3,-4.6197,5,0.75,-0.0947,0.2854,0.28814348204949264,-0.8815784185655589,0.05762869640989853,-0.1763156837131118,-0.018940000000000002,0.05708,0.3803,0.0961,0.009,14.715,14.724,AFTER
79,1.317,-4.6212,5,0.75,-0.0899,0.2711,0.28203675609635465,-0.8404077438150251,0.05640735121927093,-0.16808154876300505,-0.01798,0.054220000000000004,0.3788,0.0976,0.0081,14.715,14.7231,AFTER
80,1.333,-4.6226,5,0.75,-0.0854,0.2576,0.2813691693626457,-0.84355848436137,0.05627383387252915,-0.16871169687227403,-0.01708,0.05152,0.3774,0.099,0.0073,14.715,14.7223,AFTER
81,1.35,-4.6239,5,0.75,-0.0812,0.2447,0.24719601121786478,-0.7581299780172588,0.049439202243572955,-0.15162599560345177,-0.01624,0.048940000000000004,0.3761,0.1003,0.0066,14.715,14.7216,AFTER
82,1.367,-4.6252,5,0.75,-0.0771,0.2325,0.24205217036164703,-0.7178965588051909,0.04841043407232941,-0.1435793117610382,-0.015420000000000001,0.04650000000000001,0.3748,0.1016,0.0059,14.715,14.7209,AFTER
83,1.383,-4.6265,5,0.75,-0.0732,0.2208,0.24398076462287446,-0.7307228763947445,0.0487961529245749,-0.14614457527894892,-0.01464,0.044160000000000005,0.3735,0.1028,0.0054,14.715,14.7204,AFTER
84,1.4,-4.6276,5,0.75,-0.0696,0.2098,0.2114208503424569,-0.6473277272800644,0.04228417006849138,-0.12946554545601288,-0.01392,0.04196,0.3724,0.104,0.0048,14.715,14.7198,AFTER
85,1.417,-4.6287,5,0.75,-0.0661,0.1993,0.2052972924276431,-0.6179711999532265,0.041059458485528624,-0.1235942399906453,-0.013220000000000003,0.03986000000000001,0.3713,0.1051,0.0044,14.715,14.7194,AFTER
86,1.433,-4.6298,5,0.75,-0.0628,0.1893,0.20611762950815507,-0.6246432081147626,0.04122352590163102,-0.12492864162295253,-0.01256,0.037860000000000005,0.3702,0.1061,0.0039,14.715,14.7189,AFTER
87,1.45,-4.6308,5,0.75,-0.0597,0.1799,0.1830929627901872,-0.5534981992420335,0.03661859255803744,-0.1106996398484067,-0.011940000000000001,0.035980000000000005,0.3692,0.1071,0.0036,14.715,14.7186,AFTER
88,1.467,-4.6317,5,0.75,-0.0567,0.1709,0.17671644147254295,-0.5287076108085065,0.03534328829450859,-0.1057415221617013,-0.011340000000000001,0.03418,0.3683,0.1081,0.0032,14.715,14.7182,AFTER
89,1.483,-4.6326,5,0.75,-0.0538,0.1623,0.18174724882411275,-0.5372523472392412,0.03634944976482255,-0.10745046944784825,-0.01076,0.03246,0.3674,0.109,0.0029,14.715,14.7179,AFTER
90,1.5,-4.6334,5,0.75,-0.0511,0.1542,0.15947847807334328,-0.47720658345715516,0.03189569561466866,-0.09544131669143104,-0.01022,0.030840000000000003,0.3666,0.1098,0.0026,14.715,14.7176,AFTER
91,1.517,-4.6343,5,0.75,-0.0486,0.1465,0.14687515248903707,-0.45207474577662715,0.029375030497807417,-0.09041494915532544,-0.00972,0.0293,0.3657,0.1106,0.0024,14.715,14.7174,AFTER
92,1.533,-4.635,5,0.75,-0.0462,0.1392,0.14982475792698569,-0.4554084482546193,0.029964951585397137,-0.09108168965092386,-0.00924,0.02784,0.365,0.1114,0.0021,14.715,14.7171,AFTER
93,1.55,-4.6358,5,0.75,-0.0439,0.1322,0.135508246975729,-0.41253918075137797,0.0271016493951458,-0.0825078361502756,-0.008780000000000001,0.026440000000000005,0.3642,0.1121,0.0019,14.715,14.7169,AFTER
94,1.567,-4.6365,5,0.75,-0.0417,0.1256,0.12967402174873272,-0.38871766408794617,0.025934804349746543,-0.07774353281758924,-0.00834,0.02512,0.3635,0.1128,0.0017,14.715,14.7167,AFTER
95,1.583,-4.6371,5,0.75,-0.0396,0.1193,0.1311397049304791,-0.3941127285754304,0.02622794098609582,-0.07882254571508608,-0.007920000000000002,0.023860000000000003,0.3629,0.1135,0.0016,14.715,14.7166,AFTER
96,1.6,-4.6377,5,0.75,-0.0376,0.1134,0.11838088262512701,-0.34756551390444956,0.023676176525025405,-0.06951310278088992,-0.007520000000000001,0.022680000000000002,0.3623,0.1141,0.0014,14.715,14.7164,AFTER
97,1.617,-4.6383,5,0.75,-0.0357,0.1077,0.11116160796746707,-0.33594515898157123,0.022232321593493417,-0.06718903179631425,-0.0071400000000000005,0.021540000000000004,0.3617,0.1147,0.0013,14.715,14.7163,AFTER
98,1.633,-4.6389,5,0.75,-0.0339,0.1023,0.11305380873356803,-0.33697361186604213,0.022610761746713608,-0.06739472237320843,-0.0067800000000000004,0.020460000000000002,0.3611,0.1153,0.0012,14.715,14.7162,AFTER
99,1.65,-4.6394,5,0.75,-0.0322,0.0972,0.09996618346834506,-0.299898604684661,0.019993236693669012,-0.059979720936932206,-0.00644,0.01944,0.3606,0.1158,0.001,14.715,14.716,AFTER
100,1.667,-4.6399,5,0.75,-0.0306,0.0923,0.0943877296933016,-0.289113725166203,0.018877545938660322,-0.0578227450332406,-0.0061200000000000004,0.01846,0.3601,0.1163,0.0009,14.715,14.7159,AFTER
101,1.683,-4.6404,5,0.75,-0.0291,0.0877,0.09310009750469515,-0.28694745059259713,0.01862001950093903,-0.05738949011851943,-0.0058200000000000005,0.01754,0.3596,0.1168,0.0008,14.715,14.7158,AFTER
102,1.7,-4.6409,5,0.75,-0.0276,0.0833,0.08803182505604344,-0.2584037202404804,0.01760636501120869,-0.05168074404809608,-0.005520000000000001,0.01666,0.3591,0.1173,0.0008,14.715,14.7158,AFTER
103,1.717,-4.6413,5,0.75,-0.0263,0.0792,0.07727739103974028,-0.24089841754862382,0.015455478207948056,-0.04817968350972476,-0.005260000000000001,0.015840000000000003,0.3587,0.1177,0.0007,14.715,14.7157,AFTER
104,1.733,-4.6417,5,0.75,-0.0249,0.0752,0.08825745769751855,-0.24967607623960536,0.01765149153950371,-0.04993521524792108,-0.00498,0.015040000000000001,0.3583,0.1181,0.0006,14.715,14.7156,AFTER
105,1.75,-4.6421,5,0.75,-0.0237,0.0714,0.0709476921968511,-0.22298297456980726,0.01418953843937022,-0.04459659491396145,-0.00474,0.014280000000000001,0.3579,0.1185,0.0006,14.715,14.7156,AFTER
106,1.767,-4.6425,5,0.75,-0.0225,0.0679,0.07094147736759521,-0.20629175145433834,0.014188295473519042,-0.04125835029086767,-0.0045,0.013580000000000002,0.3575,0.1189,0.0005,14.715,14.7155,AFTER
107,1.783,-4.6429,5,0.75,-0.0214,0.0645,0.06819566441827841,-0.2123931884539988,0.013639132883655683,-0.042478637690799764,-0.00428,0.012900000000000002,0.3571,0.1193,0.0005,14.715,14.7155,AFTER
108,1.8,-4.6432,5,0.75,-0.0203,0.0613,0.06459360051031703,-0.18892933310717713,0.012918720102063406,-0.03778586662143543,-0.00406,0.01226,0.3568,0.1196,0.0004,14.715,14.7154,AFTER
109,1.817,-4.6435,5,0.75,-0.0193,0.0582,0.05852122279890815,-0.18308258097510424,0.011704244559781632,-0.03661651619502085,-0.0038600000000000006,0.011640000000000001,0.3565,0.1199,0.0004,14.715,14.7154,AFTER
110,1.833,-4.6438,5,0.75,-0.0183,0.0553,0.06320040752885414,-0.18162954992288893,0.012640081505770829,-0.03632590998457779,-0.00366,0.01106,0.3562,0.1202,0.0003,14.715,14.7153,AFTER
